id,MW,HBA,HBD,RotB,LogP,TPSA,GBSA,docking score
1302,350.5,5,1,11,4.04,63.8,-63.5145388666797,-6.69264434236047
1303,358.5,6,1,8,4.1,65.1,-57.0642999465008,-6.69195984632417
1304,374.5,5,1,7,4.01,59.8,-60.4844149439859,-6.69168004810588
1305,373.9,4,2,8,4.15,60.9,-60.9703290373409,-6.69114609299234
1306,451.6,8,1,5,1.78,105.1,-56.7541409482428,-6.6894498603262
1307,387.4,7,1,7,3.15,81.8,-58.4228066983405,-6.68889123666749
1308,459.9,11,0,6,1.24,115.4,-56.969139882367,-6.68828552647288
1309,474.5,8,0,7,3.36,93.2,-57.0940977314604,-6.68783762166961
1310,391.5,6,1,9,4.1,71.5,-56.6092665734086,-6.68747721143265
1311,433.5,7,1,9,3.45,97.4,-57.4318697680183,-6.68732086543235
1312,364.8,5,0,5,3.9,52.7,-57.5554633453867,-6.68726246180813
1313,456.5,7,2,9,5.79,85.2,-60.4116526805637,-6.68395661073699
1314,436.6,6,2,4,4.35,92.3,-56.8188586327033,-6.68354759235957
1315,407.5,5,2,11,1.95,46.4,-56.565229220857,-6.68333081590772
1316,435.4,6,2,7,4.85,80.3,-64.9296510315407,-6.67833852522101
1317,423.9,5,0,7,5.01,49.6,-60.2535302997803,-6.67671045615933
1318,367.4,7,1,5,2.87,96.5,-59.4505842594699,-6.67643481375598
1319,442.9,7,1,7,4.28,84.4,-56.3307037448712,-6.67601615255034
1320,397.9,5,1,5,3.93,52.6,-60.2490784963302,-6.67289787752856
1321,486.6,7,0,8,4.27,84.0,-61.4702060855861,-6.67219449571632
1322,394.9,5,0,4,3.57,59.5,-59.6872758661739,-6.67162477878879
1323,402.4,5,1,4,3.68,68.3,-59.8426012252594,-6.67095875672999
1324,369.8,6,0,4,2.88,65.6,-57.9832527514063,-6.67057436529051
1325,407.3,5,1,7,4.77,58.6,-57.1732643262894,-6.67013489175967
1326,373.4,6,1,5,3.78,72.7,-61.0963224364095,-6.66431977533559
1327,438.6,7,1,10,4.73,76.5,-59.9561950406751,-6.66431948990113
1328,345.4,6,2,7,2.51,80.3,-58.0865128250853,-6.66385514813463
1329,320.8,4,1,4,3.38,49.4,-57.8011002300382,-6.66249732647587
1330,434.5,7,3,7,3.9,100.2,-58.208547364482,-6.66224533835009
1331,399.3,5,0,5,4.55,52.7,-57.7244528017691,-6.65948700448622
1332,498.6,9,3,8,3.79,129.6,-63.5395452169814,-6.6570537799553
1333,384.4,7,0,7,3.15,76.8,-62.5855270613511,-6.65690567629271
1334,449.5,6,2,11,4.4,84.1,-59.3910742618082,-6.65671435928935
1335,339.4,4,2,5,5.18,58.0,-58.8754959634007,-6.65631357655933
1336,437.5,8,2,14,4.42,102.0,-67.0787681775391,-6.6548273936093
1337,380.5,6,0,3,3.37,67.6,-58.0162034455752,-6.65426362294205
1338,489.5,6,0,6,4.31,70.6,-60.433401111849,-6.65373962332206
1339,315.8,5,1,9,1.43,51.2,-57.18114191534,-6.65328935290762
1340,463.4,4,0,8,6.17,70.3,-63.3606958439896,-6.65303025846411
1341,336.4,3,0,5,4.92,45.9,-59.3036484116546,-6.65164552993786
1342,480.6,7,1,9,4.35,68.6,-64.0846007551572,-6.64982718742421
1343,365.4,7,1,6,2.26,81.8,-57.0257084081095,-6.64790686201459
1344,400.3,6,0,5,3.95,65.6,-61.3350348203267,-6.64773995026048
1345,372.9,5,1,7,3.64,58.6,-60.5852852526832,-6.64660930303366
1346,403.2,6,1,4,2.6,67.9,-57.9056714399967,-6.64490337222099
1347,393.9,6,2,12,4.26,78.5,-58.1663774844637,-6.64447321083381
1348,386.2,6,0,4,3.64,65.6,-58.5561460219078,-6.64445006655819
1349,439.9,3,1,7,5.14,40.5,-58.3071831693351,-6.64370264004622
1350,350.4,6,1,3,3.46,76.8,-56.5610010336577,-6.64328158152904
1351,377.3,4,1,5,4.6,49.4,-59.3974795639479,-6.64095663447362
1352,426.9,6,1,6,4.58,75.2,-57.1391432224173,-6.6395849416352
1353,473.6,8,1,8,4.54,91.2,-58.81607209921,-6.63935930292962
1354,377.4,6,0,5,3.92,68.5,-56.711116230761,-6.63867257860929
1355,476.5,8,0,7,3.58,93.2,-58.6597877318709,-6.63861109468534
1356,469.4,6,1,7,4.95,69.0,-56.840618159169,-6.63833805220776
1357,423.5,7,2,8,4.35,89.6,-59.2596901341667,-6.63700546225274
1358,378.4,7,2,8,3.22,89.1,-56.6253024230173,-6.63680082586729
1359,397.9,4,2,9,4.74,66.4,-59.9915056529971,-6.63622719846274
1360,385.9,5,2,4,4.16,82.0,-58.5642189367027,-6.63529563975598
1361,346.8,4,1,4,3.01,49.4,-58.9023088298272,-6.63435039595274
1362,375.5,7,3,9,3.67,86.4,-56.5496996082948,-6.63160639217395
1363,364.2,5,3,2,3.44,75.4,-57.2720283786048,-6.63073134234626
1364,422.4,8,0,4,1.94,85.4,-58.6847200543598,-6.6284568623376
1365,417.9,4,1,6,5.91,59.3,-59.8574899746263,-6.62759784062831
1366,442.9,8,0,6,2.96,93.2,-60.237685887897,-6.62713549654199
1367,371.5,6,2,9,3.09,95.2,-56.557549713315,-6.62667787856268
1368,326.4,4,1,8,3.86,55.1,-57.3031893014258,-6.62461800815316
1369,418.5,7,3,7,3.59,97.6,-59.4681439524056,-6.62448776058316
1370,311.4,6,1,11,0.78,60.4,-57.5344918830788,-6.6228367441304
1371,492.0,6,1,8,5.25,73.2,-67.6989510355643,-6.62118115692605
1372,348.4,4,0,5,3.63,40.6,-58.1121372140597,-6.62096857597029
1373,482.6,8,2,5,3.73,108.5,-58.7282577371616,-6.61954335155388
1374,398.4,10,1,8,1.05,113.2,-56.5811164366269,-6.61928215189045
1375,371.4,7,1,10,2.61,84.7,-63.1995934491915,-6.61879127281098
1376,491.5,11,2,8,0.25,132.5,-62.7852972854562,-6.61717957685039
1377,425.9,6,3,10,4.23,89.4,-70.6334964739353,-6.61514159037289
1378,430.6,6,3,8,4.13,98.0,-56.2500817202963,-6.61447568028793
